TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
JOUR,A simple and efficient text matching model based on deep interaction,"Yu, Chuanming",Information Processing & Management,58,102738,2021,2021/11/01/,0306-4573,https://doi.org/10.1016/j.ipm.2021.102738,https://www.sciencedirect.com/science/article/pii/S030645732100220X,Text matching,"In recent years, text matching has gained increasing research focus and shown great improvements. However, due to the long-distance dependency and polysemy, existing text matching models cannot effectively capture the contextual and implicit semantic information of texts. Additionally, existing models are lack of generalization ability when applied to different scenarios. In this study, we propose a novel Deep Interactive Text Matching (DITM) model by integrating the encoder layer, the co-attention layer, and the fusion layer as an interaction module, based on a matching-aggregation framework. In particular, the interaction process is iterated multiple times to obtain the in-depth interaction information, and the relationship between the text pair is extracted through the multi-perspective pooling. We conduct extensive experiments on four text matching tasks, i.e., opinion retrieval, answer selection, paraphrase identification and natural language inference. Compared with the state-of-the-art text matching methods, the proposed model achieved the best results on most of the tasks, which proves that our model could effectively capture the interactive information between text pairs, and has a high generalization ability among different tasks. Further multi-lingual investigations show the similarities of the performance between English and Chinese, which suggest that our model could be ported to other languages. The research contributes a simple and efficient implementation of text matching in a situation where there is limited computing capacity, and sheds light on leveraging text matching models to facilitate a range of downstream tasks.",6,,,,
,,"Xue, Haodong",,,,,,,,,Deep learning,,,,,,
,,"Jiang, Yifan",,,,,,,,,Deep interaction,,,,,,
,,"An, Lu",,,,,,,,,Attention mechanism,,,,,,
,,"Li, Gang",,,,,,,,,Neural network,,,,,,
JOUR,MRC-Sum: An MRC framework for extractive summarization of academic articles in natural sciences and medicine,"Li, Shuaimin",Information Processing & Management,60,103467,2023,2023/09/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103467,https://www.sciencedirect.com/science/article/pii/S0306457323002042,Extractive summarization,"Extractive summarization for academic articles in natural sciences and medicine has attracted attention for a long time. However, most existing extractive summarization models often process academic articles with sentence classification models, which are hard to produce comprehensive summaries. To address this issue, we explore a new view to solve the extractive summarization of academic articles in natural sciences and medicine by taking it as a question-answering process. We propose a novel framework, MRC-Sum, where the extractive summarization for academic articles in natural sciences and medicine is cast as an MRC (Machine Reading Comprehension) task. To instantiate MRC-Sum, article-summary pairs in the summarization datasets are firstly reconstructed into (Question, Answer, Context) triples in the MRC task. Several questions are designed to cover the main aspects (e.g. Background, Method, Result, Conclusion) of the articles in natural sciences and medicine. A novel strategy is proposed to solve the problem of the non-existence of the ground truth answer spans. Then MRC-Sum is trained on the reconstructed datasets and large-scale pre-trained models. During the inference stage, four answer spans of the predefined questions are given by MRC-Sum and concatenated to form the final summary for each article. Experiments on three publicly available benchmarks, i.e., the Covid, PubMed, and arXiv datasets, demonstrate the effectiveness of MRC-Sum. Specifically, MRC-Sum outperforms advanced extractive summarization baselines on the Covid dataset and achieves competitive results on the PubMed and arXiv datasets. We also propose a novel metric, COMPREHS, to automatically evaluate the comprehensiveness of the system summaries for academic articles in natural sciences and medicine. Abundant experiments are conducted and verified the reliability of the proposed metric. And the results of the COMPREHS metric show that MRC-Sum is able to generate more comprehensive summaries than the baseline models.",5,,,,
,,"Xu, Jungang",,,,,,,,,Machine reading comprehension,,,,,,
,,,,,,,,,,,Deep learning,,,,,,
,,,,,,,,,,,Academic articles,,,,,,
JOUR,Explainable machine learning multi-label classification of Spanish legal judgements,"de Arriba-Pérez, Francisco",Journal of King Saud University - Computer and Information Sciences,34,10180,2022,2022/11/01/,1319-1578,https://doi.org/10.1016/j.jksuci.2022.10.015,https://www.sciencedirect.com/science/article/pii/S1319157822003664,Machine learning,"Artificial Intelligence techniques such as Machine Learning (ml) have not been exploited to their maximum potential in the legal domain. This has been partially due to the insufficient explanations they provided about their decisions. Automatic expert systems with explanatory capabilities can be specially useful when legal practitioners search jurisprudence to gather contextual knowledge for their cases. Therefore, we propose a hybrid system that applies ml for multi-label classification of judgements (sentences) and visual and natural language descriptions for explanation purposes, boosted by Natural Language Processing techniques and deep legal reasoning to identify the entities, such as the parties, involved. We are not aware of any prior work on automatic multi-label classification of legal judgements also providing natural language explanations to the end-users with comparable overall quality. Our solution achieves over 85% micro precision on a labelled data set annotated by legal experts. This endorses its interest to relieve human experts from monotonous labour-intensive legal classification tasks.","10, Part B",10192,,,
,,"García-Méndez, Silvia",,,,,,,,,Natural language processing,,,,,,
,,"González-Castaño, Francisco J.",,,,,,,,,Multi-label text classification,,,,,,
,,"González-González, Jaime",,,,,,,,,Interpretability and explainability,,,,,,
,,,,,,,,,,,Legal texts,,,,,,
JOUR,Joint structured pruning and dense knowledge distillation for efficient transformer model compression,"Cui, Baiyun",Neurocomputing,458,56,2021,2021/10/11/,0925-2312,https://doi.org/10.1016/j.neucom.2021.05.084,https://www.sciencedirect.com/science/article/pii/S0925231221008390,Transformer Model Compression,"In this paper, we develop a novel Joint Model Compression (referred to as JMC) method by combining structured pruning and dense knowledge distillation techniques to significantly compress original large language model into a deep compressed shallow network. In particular, a new Direct Importance-aware Structured Pruning (referred as DISP) approach is proposed to structurally prune the redundant structures in the Transformer networks directly based on the corresponding parameter matrices in the model. Besides, a Dense Knowledge Distillation (referred to as DKD) method is developed with a many-to-one layer mapping strategy to leverage more comprehensive layer-wise linguistic knowledge for the distillation. Further, the proposed structured pruning and dense knowledge distillation are integrated together to perform the joint compression, which enables us to achieve a significant compression without sacrificing model accuracy. The extensive experimental results across four NLP tasks on seven datasets demonstrate its effectiveness and superiority to the baselines, while maintaining similar performance to original large model with further remarkable benefits for inference-time speedup and memory efficiency.",,69,,,
,,"Li, Yingming",,,,,,,,,Structured Pruning,,,,,,
,,"Zhang, Zhongfei",,,,,,,,,Knowledge Distillation,,,,,,
JOUR,Legal Information Retrieval systems: State-of-the-art and open issues,"Sansone, Carlo",Information Systems,106,101967,2022,2022/05/01/,0306-4379,https://doi.org/10.1016/j.is.2021.101967,https://www.sciencedirect.com/science/article/pii/S0306437921001551,Legal Information Retrieval,"In the last years, the legal domain has been revolutionized by the use of Information and Communication Technologies, producing large amount of digital information. Legal practitioners’ needs, then, in browsing these repositories has required to investigate more efficient retrieval methods, that assume more relevance because digital information is mostly unstructured. In this paper we analyze the state-of-the-art of artificial intelligence approaches for legal domain, focusing on Legal Information Retrieval systems based on Natural Language Processing, Machine Learning and Knowledge Extraction techniques. Finally, we also discuss challenges – mainly focusing on retrieving similar cases, statutes or paragraph for supporting latest cases’ analysis – and open issues about Legal Information Retrieval systems.",,,,,
,,"Sperlí, Giancarlo",,,,,,,,,Artificial Intelligence,,,,,,
,,,,,,,,,,,Natural Processing Language,,,,,,
,,,,,,,,,,,Ontology,,,,,,
JOUR,A commonsense-infused language-agnostic learning framework for enhancing prediction of political bias in multilingual news headlines,"Swati, Swati",Knowledge-Based Systems,277,110838,2023,2023/10/09/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110838,https://www.sciencedirect.com/science/article/pii/S0950705123005889,News,"Predicting the political bias of news headlines is a challenging task that becomes even more challenging in a multilingual setting with low-resource languages. To deal with this, we propose to utilise Inferential Commonsense Knowledge via a Translate–Retrieve–Translate strategy to introduce a learning framework. To begin with, we use the translate–retrieve–translate strategy to acquire inferential knowledge in the target language. We then employ an attention mechanism to emphasise important inferences. We finally integrate the attended inferences into a multilingual, pre-trained language model for the task of bias prediction. To evaluate the effectiveness of our framework, we present a dataset of over 62.6K multilingual news headlines annotated with their respective political biases in five low-resource European languages. We evaluate several state-of-the-art multilingual pre-trained language models since their performance tends to vary across languages (low or high resource). Evaluation results demonstrate that our proposed framework is effective regardless of the models employed. Overall, the best-performing model trained with only headlines shows 0.90 accuracy and F1 and a 0.83 Jaccard score. With attended knowledge in our framework, the same model shows an increase in 2.2% accuracy and F1 and a 3.6% Jaccard score. Extending our experiments to individual languages reveals that the models we analyse for Slovenian perform significantly worse than other languages in our dataset. To investigate this, we assess the effect of translation quality on prediction performance. It indicates that the disparity in performance is most likely due to poor translation quality. We release our dataset and scripts at https://github.com/Swati17293/KG-Multi-Bias for future research. Our framework has the potential to benefit journalists, social scientists, news producers, and consumers.",,,,,
